"i","sha","MB","CumMB","Subj"
"167","0e4bff39","0.01","428.8","docs(az_intent): M1e done — facade + 3 optimizations, sear"
"168","552319bd","0","428.8","perf(az_intent): build with -O2 — 3.4x vs pure Python at 1"
"169","7bee9a05","0.03","428.8","perf(engine): deep_clone skips derived caches — 0.3-5ms → "
"170","61d41783","0.01","428.8","docs(az_intent): record finding — first-player enhancement"
"171","39c2e7b4","0.03","428.9","feat(az_intent): integrate C++ engine (native_game) into M"
"172","3f64f5b9","0.02","428.9","feat(facade): add rule_v4-required interfaces to GameState"
"173","a6cf0c8a","0.01","428.9","feat(az_intent): batch loop iterations param + native_game"
"174","8e7c33e9","0.02","428.9","feat(az_intent): value pool batch cap + native crash pinpo"
"175","c623f71d","0.02","429","fix(engine): deep_clone return-by-value left dangling map "
"176","bf37fc03","0.02","429","feat(az_intent): value_warmup supports C++ engine (--nativ"
"177","9d1825d4","0.02","429","fix(az_intent): value_warmup worker torch.set_num_threads("
"178","d442dc90","0.01","429","feat(az_intent): batch loop supports native-engine + data-"
"179","fddf72df","0.03","429","test(cpp_ai): match runner + Windows binary-protocol fixes"
"180","13776721","0.01","429","feat(az_intent): batch loop games/workers/ckpt-dir params"
"181","614b79d0","0.01","429","feat(az_intent): az_selfplay --c-puct param"
"182","e47b642b","0.02","429.1","feat(az_intent): az_train.py GPU support (--device auto/cu"
"183","d104377e","0.01","429.1","feat(az_intent): batch loop training uses --device auto (G"
"184","d747ea64","0.01","429.1","docs(az_intent): C++ engine AlphaZero confirmed — az_r50 6"
"185","47597b1b","0.01","429.1","feat(az_intent): self-play progress log includes both play"
"186","ad89a993","0.01","429.1","fix(test_match): diagnose action representation to tuple s"
"187","08cd10b9","0.01","429.1","Revert ""fix(test_match): diagnose action representation to"
"188","fd23350d","0.02","429.1","feat(az_intent): progress file ops in diagnose.py named st"
"189","59f432ad","0.02","429.1","feat(az_intent): progress file includes both players' gold"
"190","e4dd27c9","0.02","429.2","feat(az_intent): progress log pads P0 to fixed width for r"
"191","4a79b4de","0.03","429.2","feat(az_intent): tau 20 -> 50 for value labels + --value-o"
"192","8ebde67a","0.01","429.2","docs(az_intent): tau 50 short-sighted root cause + rule_v4"
"193","a5a8a60d","0.01","429.2","docs(az_intent): plan — decouple value training steps from"
"194","88cad6ce","0.03","429.2","feat(az_intent): decouple value training steps from policy"
"195","810351b7","0.01","429.2","docs(az_intent): az_r69 weakness was undertrained value (2"
"196","6f5eadbc","0.01","429.3","feat(az_intent): add make_mix_checkpoint.py to combine pol"
"197","24468374","0.02","429.3","docs(az): 记录 2x2 策略-价值交叉消融 — 强耦合、迭代未提升上限"
"198","a0fda102","0.04","429.3","fix(az_intent): train_split policy loss display diluted 33"
"199","affae503","0.02","429.3","docs(az): 记录策略不学根因 — position CE 与 action_map 结构不匹配"
"200","23434a80","0.02","429.3","docs(az): position CE 不降真因 — 单样本内位置目标分散冲突"
"201","806f0253","0.02","429.4","docs(az): 修正 position CE 诊断 — 稀疏梯度导致学习慢，非学不会"
"202","c8568402","0.03","429.4","feat(az_intent): --pos-single collapse position targets to"
"203","90c83747","0.02","429.4","docs(az): 真正根因 — MCTS 搜索坍缩到 LIGHTNING（99.3% 目标）"
"204","e8ce1d8e","0.02","429.4","docs(az): 坍缩机制定位 — t_class=0.5 放大 LIGHTNING 至 95%"
"205","fa6b5298","0.01","429.5","feat(az_intent): eval.py --k and --c-puct parameters"
"206","044ca463","0.01","429.5","feat(az_intent): run_az_batches.sh 支持 t_class/t_pos/k/valu"
"207","5f79456f","0.03","429.5","docs(az): 价值头标签语义与搜索用法不匹配 — ""建完又拆""根因"
"208","ac53d519","0.03","429.5","feat(az_intent): add --label-mode rel/abs for value labels"
"209","5f11eed2","0.03","429.5","feat(az_intent): --label-mode mix — blend current HP-diff "
"210","c382f152","0.03","429.6","docs(az): 最终根因 — az 训练把特征提取器训坍缩，棋盘信息全丢"
"211","04e622f6","0.01","429.6","feat(az_intent): convert_no_bn_to_bn — bias迁移修复特征坍缩"
"212","2ede2f69","0.03","429.6","fix(az_intent): 加载函数读 ckpt 的 no_bn 字段（支持 BN checkpoint）"
"213","fff077a6","0.02","429.6","feat(az_intent): 真 depth0 greedy 搜索 + eval --depth0"
"214","0477be74","0.01","429.6","fix(az_intent): depth0 greedy 后手价值视角符号反了"
"215","baff7db8","0.03","429.7","docs(az): depth0 实验 — 深度(rollout)是搜索增强的必要条件"
"216","53ffca69","0.03","429.7","fix(az_intent): 价值标签两个关键 bug — stats index + 视角抵消"
"217","e22f5a9c","0.03","429.7","docs(az): 价值标签双 bug 根因 + value_warmup 对照解释历史矛盾"
"218","28a3d0dd","0.01","429.7","feat(az_intent): run_az_batches.sh 支持 --label-mode（默认 abs）"
"219","b94b6591","0.03","429.8","docs(az): A/B 消融 — 策略进步(34.4%)但训过的价值头有害(9.4%)"
"220","f830f76b","0.04","429.8","feat(az_intent): net_fn 支持跳过 tanh（--no-value-tanh 实验）"
"221","7fd326a7","0.03","429.8","feat(az_intent): --label-mode terminal — 用采集时存的终局 HP 差标签"
"222","5b7aa85c","0.02","429.8","fix(az_intent): net_fn tanh 在 float 上调用报错 — 先 tanh tensor "
"223","d218f035","0.03","429.9","docs(az): terminal 终局标签重训意外失败(3.1%) — 问题不在标签在数据/训练"
"224","04e70929","0.03","429.9","feat(az_intent): --value-anchor — value-only 骨干锚定防漂移"
"225","275a0e28","0.03","429.9","docs(az): 价值头配方复现成功 34.4% — 锁定原版训练配置"
"226","f442903a","0.04","430","docs(az): 决定性对照 — 价值头训不好根因是自对弈数据非训练方法"
"227","c1b70023","0.07","430","docs(az): 修正 §22 —— 价值标签""两个 bug""系误诊，""修复""净效果为零"
"228","e21f33e5","0.03","430.1","feat(az_intent): value_warmup --skip-collect + 深度成本基准 + 实验"
"229","84e8f901","0.01","430.1","docs: 实验记录系统 — run_logged.sh + experiment_log.md"
"230","7528ad37","0","430.1","docs(claude): 大实验统一用 run_logged.sh 记录"
"231","2566b42c","0.05","430.1","feat(az_intent): value_warmup GPU/线程/TF32 开关 + 记录 CPU-GPU "
"232","016fac8b","0.04","430.2","feat(az_intent): value_warmup --freeze-backbone + 2x2 定位实验"
"233","9d0d43c7","0.05","430.2","feat(az_intent): --freeze-backbone + 记录冻结骨干消融结论"
"234","2c1ef17c","0.01","430.2","docs(az): 自对弈数据质量对比 — 决定性随训练阶段上升"
"235","4cb014fe","0.02","430.3","docs: 实验日志补上 terminal 版最终成绩 3.1% (1W/31L)"
"236","28aec25a","0.02","430.3","feat(az_selfplay): --random-action-prob 随机动作注入"
"237","4daace4a","0.03","430.3","docs: 策略-only 循环到顶 + 2% 随机注入消融结果"
"238","e78fb0e2","0.04","430.3","docs: 回填 experiment_log 的 37 条 result + 补录 3 条被并发写入覆盖的条目"
"239","953e4fe5","0.11","430.5","feat(network): 价值头空间池化选项 value_pool（默认 gap，向后兼容）"
"240","18dce3b8","0.03","430.5","fix(az_intent): 转换器与 hotstart 加载支持 value_pool/attn"
"241","2b22086f","0.01","430.5","fix(az_intent): convert_no_bn_to_bn 保留 value_pool 元数据"
"242","17212001","0.04","430.5","docs: 价值头空间池化消融（无效）+ 六杠杆总结"
"243","d2e345bd","0.05","430.6","docs: 回填 experiment_log 剩余 11 条 _待填_ 结果（池化/标签/归一化消融）"
"244","2c4a5b2c","0.01","430.6","docs: 对手池自对弈计划（六杠杆试完后的下一步）"
"245","87a5512b","0.03","430.6","feat(value_warmup): --label-mode/--tau/--label-scale 支持离线重"
"246","52e05538","0.01","430.6","docs(pooltau): 记录 tau-abs 标签的""抄血量差""捷径（corr 0.937）"
"247","af134cfc","0.01","430.6","docs(pooltau): tau 扫描——加大 tau 只缓慢减弱捷径，且牺牲逐帧信号"
"248","7952d022","0.01","430.7","docs(pooltau): 权重 k*gamma^k 比调 tau 更对症（实测）"
"249","3e09d1c8","0.04","430.7","feat(value_warmup): --label-weight {geo,kgeo}（w_k=k*gamma^"
"250","e8dc3550","0.05","430.7","feat(network): value_pool=""stats"" —— 价值头只看 42 维 state 的对照臂"
"251","b09c3c09","0.01","430.8","docs(stats-only): 修正判读——打平不等于""棋盘无用"""
"252","6900bfd4","0.05","430.8","docs(experiment_log): 补 pooltau_6arms 结果（6 臂 32 局粗筛）"
"253","c78a68f4","0.05","430.8","docs(experiment_log): 补 pooltau100_6arms 结果 + 臂间排名不稳/聚合一致的"
"254","e84694e1","0.05","430.9","docs(experiment_log): 补 poolweight_kgeo_rel 结果（kgeo_gap 46"
"255","14db5bb0","0.05","430.9","docs(experiment_log): 补 value_stats_only 结果（stats_term 15."
"256","31e78c7f","0.01","431","docs: 坍缩模型(46.9%)强于健康模型(29.7%)的悖论 + 三个假设"
"257","cd883a2a","0.01","431","feat(az_search_vs_search): --flip-sides（同种子先后手取反，构成配对比较）"
"258","2d132593","0.05","431","docs(experiment_log): 补 svs_kgeo_gap 结果（60.9%，未达显著；强先后手不对称"
"259","30301f10","0.05","431.1","docs(experiment_log): 补 gen120rep + refeval_bn0v 结果"
"260","3ef32ec9","0.01","431.1","docs: 修正坍缩悖论——历史 34.4% 是 32 局噪声，不存在退步"
"261","9f10b037","0.06","431.1","docs: 补齐 r69 历史重测 + 配对补测结果，修正坍缩悖论结论"
"262","9420a5b0","0.03","431.2","feat(az_train): --label-weight {geo,kgeo}（与 value_warmup 同"
"263","558b23ee","0.01","431.2","docs: 猜想——价值头训练被""局数太少""的随机性主导（用户提出）"
"264","f9fa8ca2","0.01","431.2","docs: 噪声地板实测——猜想成立，且是重尾（1/5 种子命中幸运盆地）"
"265","9dab4c9a","0.01","431.2","docs: 价值头迭代训练循环方案（累积池 + 浅搜索采集）"
"266","ded55c97","0.01","431.2","docs: 记录「动作类/位置拆开 + 判据改用 search-vs-raw」的想法（用户提出）"
"267","92ddace4","0.01","431.2","docs: 补精确表述——训类模型时位置取 action_map argmax（用户补充）"
"268","76dbc1b9","0.04","431.3","feat(az_intent): 流式价值训练（merge_az_batches.py + value_warmup"
"269","f829606e","0.06","431.3","docs(experiment_log): search-vs-raw 扫描——迭代不能砍(32→25%)、k=8 "
"270","e4ec3d0b","0.01","431.3","docs(loop-plan): 更正采集配置——浅搜索被实测否掉，改用 256/depth2 + HOLD-ski"
"271","f0c25a18","0.04","431.4","docs: 纠偏「value_warmup 稳定产出好价值头」——「好」是相对的（用户指出）"
"272","89316e22","0.01","431.4","docs(loop-plan): 加「绝对标准」判据 + 修正成本估算"
"273","c0cfc79d","0.01","431.4","docs(loop-plan): 记「策略冻结可能自带上限」的风险 + 解冻备选分支"
"274","4bcfd256","0.08","431.5","feat(az_intent): 价值头迭代循环跑通（--keep-value / --write-npz / --"
"275","4b4a7e9c","0.01","431.5","fix(run_value_loop): 关键步骤加失败检查，避免静默产出残缺池子"
"276","c6be9a9f","0.06","431.5","docs(experiment_log): 价值头迭代循环首跑结果——堆量反而削弱价值头(21.9% vs 29.7"
"277","4164597a","0.07","431.6","docs+feat: svs 确认循环削弱价值头(35.3%)；新增 run_az_bn_kgeo.sh（原始批循环"
"278","897aa635","0.07","431.7","docs(experiment_log): BN+kgeo+2%注入批循环结果——29.7%（=基线），value "
"279","bd89cb23","0.07","431.7","docs+tool: stats-probe 诊断——此前价值头 87-92% 方差来自 stats(棋盘仅 8-1"
"280","e51d8af1","0.06","431.8","feat(search): 动作类/位置搜索拆分消融（--search-mode / --pos-pin）"
"281","2f6b90ba","0.07","431.9","docs: kgeo+rel 强度检验结果 —— 机制变了强度没变（判据全部落噪声内）"
"282","55908f5c","0.1","432","docs(search): 动作类/位置消融结果 —— 增益 100% 在位置维，类维为 0"
"283","573a723d","0.08","432","docs: 速度实测 —— ""只搜位置快很多""不成立，真正的杠杆是 skip-hold"
"284","905121c4","0.08","432.1","docs: 修正速度实测第 3 条 —— 开销在共享的采样次数上，与""改哪一维""无关"
"285","6605e1d1","0.08","432.2","feat(search): 单候选跳过迭代（opt-in）+ 成本模型实测"
"286","bae9b3a8","0.08","432.3","docs: forced_move_skip 结果 —— 端到端 22.1×，等价性 660 次逐位比对 0 差异"
"287","782bc889","0.08","432.4","docs: 采集成本对照 —— pos-only + 单候选跳过 = 2.51×（含 16 worker 版）"
"288","0e57817e","0.02","432.4","docs(pos-only): 回合构成分解 + 更正""无可做动作""的错误说法"
"289","a7d71634","0.1","432.5","docs: 97% 空过是策略判断还是类头坏了 —— 三条测量结果"
"290","d5003ca0","0.02","432.5","docs(arch): 补上基线——策略网/价值网已是两个独立网络"
"291","0227aeed","0.1","432.6","docs: 多出招 A/B 四臂 —— 空过是对的（三个""多出招""干预全部惨败）"
"292","a62ce505","0.09","432.7","docs: 更正 t_class 这条路的靶子 —— 空过是价值认可的，不是先验压制的"
"293","3b593803","0.1","432.8","docs: 位置轴控制实验 —— 增益来自价值排名，位置网络有真信号可学"
"294","eb69a6ec","0.01","432.8","docs: 三网拆分计划（类网/位置网/价值网）—— 待过目"
"295","91b2a029","0.1","432.9","feat(三网): Phase 0 管线等价性 + Phase 1 位置-only 训练模式"
"296","bcecb4e0","0.04","433","feat(az_train): pos-only 日志打出加权 anchor 与有效 anchor/CE 比"
"297","aa3b556f","0.05","433","feat(az_train): pos-only 加 --anchor-scope {contrib,all}，默认"
"298","dfc70432","0.08","433.1","fix: 去掉 print 里的 ⇒(U+21D2)——GBK 控制台编不出会直接崩训练；顺带 Phase 2 工具"
"299","5db2c2dc","0.02","433.1","docs: Phase 2 结果 —— 判据2 通过（raw 新 vs 旧 t=+5.3），绝对强度未跟上"
"300","821eb035","0.01","433.1","docs: 磁盘占用盘点（D: 只剩 51GB）—— 可清理候选分档"
"301","00cbfce6","0.01","433.1","docs: 磁盘盘点补上项目外全盘扫描（回收站 34G、旧副本 43G 等）"
"302","f2ca7868","0.01","433.1","feat: 位置网迭代循环 run_posnet_loop.sh（每轮采集→过滤→删raw→温启动训练→vs第0轮评"
"303","112bf508","0.01","433.1","docs: 随机钉类方案（位置-only 阶段让位置网所有通道都能被训练）"
"304","b28e2249","0.01","433.2","docs(posnet): 定下随机粒度按头 + p=0.01（附校准依据）；anchor 列为待试验项"
"305","7e5fe860","0.01","433.2","docs: 随机钉类方案里过时的 p=0.05 建议改为已定的 0.01"
"306","c7457318","0.02","433.2","docs: 位置循环 5 轮结果 —— 未复利，但是我的两个设计错误（非""训练不复利""证据）"
